Word,Val,Val_z
aardvark,6.26,0.94
abalone,5.3,0.19
abandon,2.84,-1.74
abandonment,2.63,-1.91
abbey,5.85,0.62
abdomen,5.43,0.29
abdominal,4.48,-0.46
abduct,2.42,-2.07
abduction,2.05,-2.36
abide,5.52,0.36
abiding,5.57,0.4
ability,7.0,1.52
abject,4.0,-0.83
ablaze,5.15,0.07
able,6.64,1.24
abnormal,3.53,-1.2
abnormality,3.05,-1.58
abode,5.28,0.17
abolish,3.84,-0.96
abominable,4.05,-0.8
abomination,2.5,-2.01
abort,3.1,-1.54
abortion,2.58,-1.95
abracadabra,5.11,0.04
abrasive,4.26,-0.63
abreast,4.62,-0.35
abrupt,3.28,-1.4
abscess,2.79,-1.78
absence,3.86,-0.94
absent,4.1,-0.76
absinthe,3.53,-1.2
absolute,5.43,0.29
absolution,6.58,1.19
absolve,4.58,-0.38
absorb,5.5,0.34
abstain,4.4,-0.52
abstinence,3.43,-1.28
abstract,5.25,0.15
absurd,4.45,-0.48
absurdity,4.06,-0.79
abundance,6.67,1.26
abundant,7.55,1.95
abuse,1.53,-2.77
abusive,2.05,-2.36
abysmal,3.45,-1.27
abyss,3.9,-0.91
academic,6.61,1.21
academy,5.32,0.2
accelerant,4.59,-0.37
accelerate,6.1,0.81
accelerated,6.21,0.9
acceleration,6.19,0.88
accelerator,5.63,0.44
accent,6.48,1.11
accept,6.39,1.04
acceptable,6.59,1.2
acceptance,6.84,1.39
access,6.68,1.27
accessible,6.68,1.27
accessory,5.35,0.22
accident,2.55,-1.97
accidental,3.46,-1.26
acclaim,6.1,0.81
accommodate,6.35,1.01
accommodation,6.76,1.33
accompany,5.47,0.32
accomplice,4.6,-0.36
accomplish,7.45,1.87
accomplishment,8.05,2.34
accord,6.38,1.03
accordion,5.26,0.15
account,5.39,0.26
accountability,4.89,-0.14
accountable,5.7,0.5
accountant,5.19,0.1
accounting,4.42,-0.51
accumulate,6.33,0.99
accuracy,6.32,0.99
accurate,7.42,1.85
accursed,3.21,-1.45
accusation,3.38,-1.32
accuse,2.68,-1.87
ace,6.37,1.02
acetylene,4.11,-0.75
ache,3.27,-1.41
achieve,7.75,2.11
achievement,7.28,1.74
achy,3.15,-1.5
acid,3.26,-1.41
acknowledge,6.43,1.07
acknowledgement,6.53,1.15
acne,2.18,-2.26
acorn,5.85,0.62
acoustic,7.1,1.6
acoustics,6.33,0.99
acquaintance,5.58,0.4
acquire,5.5,0.34
acquisition,5.0,-0.05
acquit,5.6,0.42
acquittal,6.19,0.88
acre,5.53,0.37
acreage,5.25,0.15
acrobat,6.0,0.73
acrylic,5.52,0.36
act,5.64,0.45
action,6.0,0.73
action figure,6.18,0.88
activate,5.7,0.5
activation,6.14,0.84
active,6.47,1.1
activist,6.24,0.92
activity,6.21,0.9
actor,6.15,0.85
actress,5.42,0.28
actual,6.22,0.91
actuality,5.4,0.26
acupuncture,4.81,-0.2
acute,5.1,0.03
ad,4.11,-0.75
adage,5.55,0.38
adamant,5.45,0.3
adapt,5.84,0.61
adaptation,5.82,0.59
add,6.23,0.91
adder,4.45,-0.48
addict,2.86,-1.73
addicted,2.89,-1.71
addiction,3.52,-1.21
addictive,3.52,-1.21
additional,6.15,0.85
address,6.11,0.82
adept,6.14,0.84
adequate,4.7,-0.29
adhere,5.17,0.08
adhesive,5.84,0.61
Adidas,5.77,0.55
adjacent,5.15,0.07
adjective,5.95,0.7
adjoining,5.06,-0.0
adjourn,5.5,0.34
adjust,5.76,0.55
adjuster,4.25,-0.64
adjustment,5.53,0.37
admin,4.37,-0.54
administer,4.4,-0.52
administration,4.45,-0.48
administrative,4.79,-0.21
administrator,5.32,0.2
admirable,7.0,1.52
admiral,4.8,-0.21
admiralty,6.16,0.86
admiration,7.58,1.97
admire,7.35,1.79
admired,7.25,1.71
admirer,7.05,1.56
admissible,5.16,0.08
admission,5.91,0.66
admit,5.56,0.39
admittance,6.29,0.96
ado,4.82,-0.19
adobe,5.25,0.15
adolescence,6.0,0.73
adolescent,5.38,0.25
adopt,6.9,1.44
adoption,6.68,1.27
adoptive,5.67,0.48
adorable,7.4,1.83
adoration,6.47,1.1
adore,7.37,1.81
adoring,7.38,1.82
adrenalin,6.33,0.99
adrenaline,6.61,1.21
adrift,4.36,-0.55
adult,5.9,0.66
adulterer,2.77,-1.8
adultery,2.81,-1.77
adulthood,5.05,-0.01
advance,6.11,0.82
advanced,6.14,0.84
advancement,7.47,1.89
advantage,6.71,1.29
advantageous,6.79,1.35
adventure,7.4,1.83
adventurer,7.0,1.52
adventurous,7.37,1.81
adversary,4.55,-0.4
adverse,3.68,-1.09
adversity,4.26,-0.63
advertise,5.16,0.08
advertisement,4.3,-0.6
advertising,4.68,-0.3
advice,5.78,0.56
advisable,5.62,0.44
advise,5.44,0.3
advisement,4.55,-0.4
adviser,5.68,0.48
advisor,4.74,-0.25
advisory,4.95,-0.09
advocate,5.25,0.15
aerial,6.04,0.77
aerobics,6.0,0.73
aerodynamic,6.16,0.86
aerospace,5.79,0.57
aesthetic,5.43,0.29
affair,3.1,-1.54
affect,5.65,0.46
affection,7.89,2.22
affectionate,7.23,1.7
affidavit,4.38,-0.54
affiliation,5.32,0.2
affinity,5.86,0.62
affirmation,5.95,0.7
affirmative,5.94,0.69
affliction,3.76,-1.02
afford,6.56,1.17
affordable,7.52,1.93
affront,4.53,-0.42
afire,6.05,0.77
afloat,5.57,0.4
aforementioned,5.21,0.11
afraid,2.25,-2.21
african,6.42,1.06
afterlife,5.53,0.37
aftermath,4.29,-0.61
afternoon,6.68,1.27
aftershave,5.55,0.38
age,5.78,0.56
agency,5.14,0.06
agenda,5.05,-0.01
agent,5.23,0.13
aggravate,2.55,-1.97
aggravation,2.48,-2.03
aggression,3.18,-1.48
aggressive,3.08,-1.56
aggressiveness,3.58,-1.16
aggressor,2.8,-1.78
agile,5.95,0.7
agility,6.55,1.17
aging,3.0,-1.62
agitate,3.36,-1.34
agitation,2.84,-1.74
aglow,5.84,0.61
agonizing,2.68,-1.87
agony,2.46,-2.04
agree,7.17,1.65
agreeable,6.9,1.44
agreement,6.75,1.32
agricultural,5.5,0.34
agriculture,6.1,0.81
ahoy,5.58,0.4
aid,6.29,0.96
